Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Anourosorex_squamipes,Eulipotyphla,Soricidae,NA,1.3010299956639813,mam
Anourosorex_yamashinai,Eulipotyphla,Soricidae,NA,1.0569048513364727,mam
Antechinomys_laniger,Dasyuromorphia,Dasyuridae,NA,1.3979400086720377,mam
Antechinus_adustus,Dasyuromorphia,Dasyuridae,NA,1.4502491083193612,mam
Antechinus_agilis,Dasyuromorphia,Dasyuridae,NA,1.380211241711606,mam
Antechinus_bellus,Dasyuromorphia,Dasyuridae,NA,1.6483600109809315,mam
Antechinus_flavipes,Dasyuromorphia,Dasyuridae,NA,1.6532125137753437,mam
Antechinus_godmani,Dasyuromorphia,Dasyuridae,NA,1.8836614351536176,mam
Antechinus_leo,Dasyuromorphia,Dasyuridae,NA,1.8692317197309762,mam
Antechinus_minimus,Dasyuromorphia,Dasyuridae,NA,1.7283537820212285,mam
Antechinus_stuartii,Dasyuromorphia,Dasyuridae,NA,1.4393326938302626,mam
Antechinus_subtropicus,Dasyuromorphia,Dasyuridae,NA,1.5198279937757189,mam
Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,NA,1.724275869600789,mam
Antidorcas_australis,Cetartiodactyla,Bovidae,NA,4.6020599913279625,mam
Antidorcas_bondi,Cetartiodactyla,Bovidae,NA,4.531478917042255,mam
Antidorcas_marsupialis,Cetartiodactyla,Bovidae,NA,4.498310553789601,mam
Antifer_ultra,Cetartiodactyla,Cervidae,NA,4.937849754736111,mam
Antillomys_rayi,Rodentia,Cricetidae,NA,2.662757831681574,mam
Antillothrix_bernensis,Primates,Pitheciidae,NA,3.6599162000698504,mam
Antilocapra_americana,Cetartiodactyla,Antilocapridae,NA,4.6635398014561265,mam
Antilope_cervicapra,Cetartiodactyla,Bovidae,NA,4.574031267727719,mam
Aonyx_capensis,Carnivora,Mustelidae,NA,4.278749029407906,mam
Aonyx_cinereus,Carnivora,Mustelidae,NA,3.242442036037531,mam
Aonyx_congicus,Carnivora,Mustelidae,NA,4.376580606574639,mam
Aotus_azarae,Primates,Aotidae,NA,2.9836262871245345,mam
Aotus_brumbacki,Primates,Aotidae,NA,2.9030899869919438,mam
Aotus_griseimembra,Primates,Aotidae,NA,2.9849771264154934,mam
Aotus_jorgehernandezi,Primates,Aotidae,NA,2.9410142437055695,mam
Aotus_lemurinus,Primates,Aotidae,NA,2.9410142437055695,mam
Aotus_miconax,Primates,Aotidae,NA,2.9030899869919438,mam
Aotus_nancymaae,Primates,Aotidae,NA,2.8965262174895554,mam
Aotus_nigriceps,Primates,Aotidae,NA,3.0253058652647704,mam
Aotus_trivirgatus,Primates,Aotidae,NA,2.9542425094393248,mam
Aotus_vociferans,Primates,Aotidae,NA,2.9410142437055695,mam
Aotus_zonalis,Primates,Aotidae,NA,2.9554472105776957,mam
Aplodontia_rufa,Rodentia,Aplodontiidae,NA,3.0017337128090005,mam
Apodemus_agrarius,Rodentia,Muridae,NA,1.3673559210260189,mam
Apodemus_alpicola,Rodentia,Muridae,NA,1.4487063199050798,mam
Apodemus_argenteus,Rodentia,Muridae,NA,1.3222192947339193,mam
Apodemus_avicennicus,Rodentia,Muridae,NA,1.4871383754771865,mam
Apodemus_chevrieri,Rodentia,Muridae,NA,1.5171958979499742,mam
Apodemus_draco,Rodentia,Muridae,NA,1.3483048630481607,mam
Apodemus_epimelas,Rodentia,Muridae,NA,1.6232492903979006,mam
Apodemus_flavicollis,Rodentia,Muridae,NA,1.591064607026499,mam
Apodemus_gurkha,Rodentia,Muridae,NA,1.6009728956867482,mam
Apodemus_hyrcanicus,Rodentia,Muridae,NA,1.4548448600085102,mam
Apodemus_latronum,Rodentia,Muridae,NA,1.546542663478131,mam
Apodemus_mystacinus,Rodentia,Muridae,NA,1.658964842664435,mam
Apodemus_pallipes,Rodentia,Muridae,NA,1.4065401804339552,mam
Apodemus_peninsulae,Rodentia,Muridae,NA,1.5171958979499742,mam
Apodemus_ponticus,Rodentia,Muridae,NA,1.5289167002776547,mam
Apodemus_rusiges,Rodentia,Muridae,NA,1.4785664955938433,mam
Apodemus_semotus,Rodentia,Muridae,NA,1.4593924877592308,mam
Apodemus_speciosus,Rodentia,Muridae,NA,1.5289167002776547,mam
Apodemus_sylvaticus,Rodentia,Muridae,NA,1.4842998393467859,mam
Apodemus_uralensis,Rodentia,Muridae,NA,1.2329961103921538,mam
Apodemus_witherbyi,Rodentia,Muridae,NA,1.4771212547196624,mam
Apomys_abrae,Rodentia,Muridae,NA,1.7528164311882715,mam
Apomys_camiguinensis,Rodentia,Muridae,NA,1.5998830720736879,mam
Apomys_datae,Rodentia,Muridae,NA,2.0253058652647704,mam
Apomys_gracilirostris,Rodentia,Muridae,NA,1.944975908412048,mam
Apomys_hylocetes,Rodentia,Muridae,NA,1.6541765418779606,mam
Apomys_insignis,Rodentia,Muridae,NA,1.4756711883244296,mam
Apomys_littoralis,Rodentia,Muridae,NA,1.4913616938342726,mam
Apomys_microdon,Rodentia,Muridae,NA,1.545307116465824,mam
Apomys_musculus,Rodentia,Muridae,NA,1.3263358609287514,mam
Apomys_sacobianus,Rodentia,Muridae,NA,1.9159272116971158,mam
Arabitragus_jayakari,Cetartiodactyla,Bovidae,NA,4.361727836017593,mam
Arborimus_albipes,Rodentia,Cricetidae,NA,1.3617278360175928,mam
Arborimus_longicaudus,Rodentia,Cricetidae,NA,1.3384564936046048,mam
Arborimus_pomo,Rodentia,Cricetidae,NA,1.5118833609788744,mam
Archaeoindris_fontoynonti,Primates,Palaeopropithecidae,NA,5.204119982655925,mam
Archaeolemur_edwardsi,Primates,Archaeolemuridae,NA,4.423245873936808,mam
Archaeolemur_majori,Primates,Archaeolemuridae,NA,4.2552725051033065,mam
Archboldomys_luzonensis,Rodentia,Muridae,NA,1.5490032620257879,mam
Arctictis_binturong,Carnivora,Viverridae,NA,3.9945371042984976,mam
Arctocebus_aureus,Primates,Lorisidae,NA,2.3710678622717363,mam
Arctocebus_calabarensis,Primates,Lorisidae,NA,2.322219294733919,mam
Arctodus_simus,Carnivora,Ursidae,NA,5.850952399793493,mam
Arctogalidia_trivirgata,Carnivora,Viverridae,NA,3.3521825181113627,mam
Arctonyx_albogularis,Carnivora,Mustelidae,NA,3.8455011263434637,mam
Arctonyx_collaris,Carnivora,Mustelidae,NA,3.803183888535342,mam
Arctonyx_hoevenii,Carnivora,Mustelidae,NA,3.845699431499817,mam
Arctotherium_tarijense,Carnivora,Ursidae,NA,5.144325078400488,mam
Arctotherium_wingei,Carnivora,Ursidae,NA,4.866279066729565,mam
Arvicanthis_abyssinicus,Rodentia,Muridae,NA,1.887054378050957,mam
Arvicanthis_ansorgei,Rodentia,Muridae,NA,2.0549958615291417,mam
Arvicanthis_blicki,Rodentia,Muridae,NA,2.1072099696478683,mam
Arvicanthis_nairobae,Rodentia,Muridae,NA,2.0170333392987803,mam
Arvicanthis_neumanni,Rodentia,Muridae,NA,1.9781805169374138,mam
Arvicanthis_niloticus,Rodentia,Muridae,NA,2.028977705208778,mam
Arvicanthis_rufinus,Rodentia,Muridae,NA,2.1586639808139894,mam
Arvicola_amphibius,Rodentia,Cricetidae,NA,2.3521825181113627,mam
Arvicola_sapidus,Rodentia,Cricetidae,NA,2.342422680822206,mam
Arvicola_scherman,Rodentia,Cricetidae,NA,1.9890046156985368,mam
Atelerix_albiventris,Eulipotyphla,Erinaceidae,NA,2.7781512503836434,mam
Atelerix_algirus,Eulipotyphla,Erinaceidae,NA,3.0969100130080562,mam
Atelerix_frontalis,Eulipotyphla,Erinaceidae,NA,2.490660653356137,mam
Atelerix_sclateri,Eulipotyphla,Erinaceidae,NA,2.6399842480415887,mam
Ateles_belzebuth,Primates,Atelidae,NA,3.6989700043360187,mam
Ateles_chamek,Primates,Atelidae,NA,3.7781512503836434,mam
Ateles_fusciceps,Primates,Atelidae,NA,3.9590413923210934,mam
Ateles_geoffroyi,Primates,Atelidae,NA,3.7230367740731385,mam
Ateles_hybridus,Primates,Atelidae,NA,3.9382694834629115,mam
Ateles_marginatus,Primates,Atelidae,NA,3.7781512503836434,mam
Ateles_paniscus,Primates,Atelidae,NA,3.897632588654153,mam
Atelocynus_microtis,Carnivora,Canidae,NA,3.88930170250631,mam
Atherurus_africanus,Rodentia,Hystricidae,NA,3.286456469746983,mam
Atherurus_macrourus,Rodentia,Hystricidae,NA,3.3010299956639813,mam
Atilax_paludinosus,Carnivora,Herpestidae,NA,3.5185139398778875,mam
Atlantoxerus_getulus,Rodentia,Sciuridae,NA,2.399673721481038,mam
Auliscomys_boliviensis,Rodentia,Cricetidae,NA,1.8175653695597809,mam
Auliscomys_pictus,Rodentia,Cricetidae,NA,1.737987326333431,mam
Auliscomys_sublimis,Rodentia,Cricetidae,NA,1.5797835966168101,mam
Avahi_betsileo,Primates,Indriidae,NA,3.0211892990699383,mam
Avahi_cleesei,Primates,Indriidae,NA,2.9190780923760737,mam
Avahi_laniger,Primates,Indriidae,NA,3.113943352306837,mam
Avahi_meridionalis,Primates,Indriidae,NA,3.0253058652647704,mam
Avahi_mooreorum,Primates,Indriidae,NA,2.963787827345555,mam
Avahi_occidentalis,Primates,Indriidae,NA,2.929418925714293,mam
Avahi_peyrierasi,Primates,Indriidae,NA,2.963787827345555,mam
Avahi_ramanantsoavanai,Primates,Indriidae,NA,2.9912260756924947,mam
Avahi_unicolor,Primates,Indriidae,NA,2.929418925714293,mam
Axis_axis,Cetartiodactyla,Cervidae,NA,4.820679511533755,mam
Axis_calamianensis,Cetartiodactyla,Cervidae,NA,4.607455023214668,mam
Axis_kuhlii,Cetartiodactyla,Cervidae,NA,4.740362689494244,mam
Axis_porcinus,Cetartiodactyla,Cervidae,NA,4.533108293005996,mam
Aztlanolagus_agilis,Lagomorpha,Leporidae,NA,3.3010299956639813,mam
Babakotia_radofilai,Primates,Palaeopropithecidae,NA,4.3222192947339195,mam
Babyrousa_babyrussa,Cetartiodactyla,Suidae,NA,5,mam
Babyrousa_celebensis,Cetartiodactyla,Suidae,NA,4.925969225285023,mam
Babyrousa_togeanensis,Cetartiodactyla,Suidae,NA,5.056000272640126,mam
Baiomys_musculus,Rodentia,Cricetidae,NA,0.9542425094393249,mam
Baiomys_taylori,Rodentia,Cricetidae,NA,0.9030899869919435,mam
Baiyankamys_habbema,Rodentia,Muridae,NA,1.954242509439325,mam
Baiyankamys_shawmayeri,Rodentia,Muridae,NA,1.8943160626844384,mam
Bandicota_bengalensis,Rodentia,Muridae,NA,2.2753113545418118,mam
Bandicota_indica,Rodentia,Muridae,NA,2.8573324964312685,mam
Bandicota_savilei,Rodentia,Muridae,NA,2.298853076409707,mam
Bassaricyon_alleni,Carnivora,Procyonidae,NA,3.0916669575956846,mam
Bassaricyon_gabbii,Carnivora,Procyonidae,NA,3.0969100130080562,mam
Bassaricyon_medius,Carnivora,Procyonidae,NA,3.101300180467685,mam
Bassaricyon_neblina,Carnivora,Procyonidae,NA,3.1595070374773218,mam
Bassariscus_astutus,Carnivora,Procyonidae,NA,3.052886235256382,mam
Bassariscus_sumichrasti,Carnivora,Procyonidae,NA,2.9542425094393248,mam
Bathyergus_janetta,Rodentia,Bathyergidae,NA,2.5211380837040362,mam
Bathyergus_suillus,Rodentia,Bathyergidae,NA,2.7958800173440754,mam
Batomys_dentatus,Rodentia,Muridae,NA,2.292256071356476,mam
Batomys_granti,Rodentia,Muridae,NA,2.249931756634195,mam
Batomys_russatus,Rodentia,Muridae,NA,2.060697840353612,mam
Batomys_salomonseni,Rodentia,Muridae,NA,2.271841606536499,mam
Bdeogale_crassicauda,Carnivora,Herpestidae,NA,3.1903316981702914,mam
Bdeogale_jacksoni,Carnivora,Herpestidae,NA,3.3979400086720375,mam
Bdeogale_nigripes,Carnivora,Herpestidae,NA,3.3979400086720375,mam
Bdeogale_omnivora,Carnivora,Herpestidae,NA,3.2430380486862944,mam
Beamys_hindei,Rodentia,Nesomyidae,NA,1.8796692056320534,mam
