Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Coendou_bicolor,Rodentia,Erethizontidae,0.7466341989375788,3.6074550232146687,density
Coendou_prehensilis,Rodentia,Erethizontidae,1.5525465479556604,3.6434526764861874,density
Colobus_guereza,Primates,Cercopithecidae,1.9965116721541787,4.217431299267857,density
Colobus_polykomos,Primates,Cercopithecidae,1.3710678622717363,3.9585447719331834,density
Colobus_satanas,Primates,Cercopithecidae,1.4243915544102774,4.078956802579085,density
Condylura_cristata,Eulipotyphla,Talpidae,3.6989691357461862,1.9242792860618816,density
Conepatus_semistriatus,Carnivora,Mephitidae,0.9786369483844743,3.0791812460476247,density
Connochaetes_gnou,Cetartiodactyla,Bovidae,1.539327063539375,5.255270092349482,density
Dasyprocta_leporina,Rodentia,Dasyproctidae,1.6962689967455329,3.4800069429571505,density
Dasyprocta_punctata,Rodentia,Dasyproctidae,1.2415464805965484,3.427323786357247,density
Dasypus_novemcinctus,Cingulata,CingulataFam,1.308991029000164,3.6236420458522685,density
Dasypus_sabanicola,Cingulata,CingulataFam,2.4471580313422194,3.060697840353612,density
Euoticus_elegantulus,Primates,Galagidae,1.2166935991697543,2.4771212547196626,density
Euphractus_sexcinctus,Cingulata,CingulataFam,0.24797326636180664,3.679691300817146,density
Connochaetes_taurinus,Cetartiodactyla,Bovidae,0.9025467793139914,5.255270092349482,density
Cratogeomys_castanops,Rodentia,Geomyidae,3.000768021734068,2.401055725771844,density
Crocuta_crocuta,Carnivora,Hyaenidae,-0.9208187539523752,4.7993398600967145,density
Cryptomys_hottentotus,Rodentia,Bathyergidae,2.9117327345572286,2.0086001717619175,density
Cryptoprocta_ferox,Carnivora,Eupleridae,-0.05551732784983137,3.9777236052888476,density
Cryptotis_goldmani,Eulipotyphla,Soricidae,2.06126394230025,0.9030899869919435,density
Cryptotis_meridensis,Eulipotyphla,Soricidae,2.019573202095639,1.0644579892269184,density
Cryptotis_parva,Eulipotyphla,Soricidae,2.693718157448391,0.6989700043360189,density
Ctenomys_opimus,Rodentia,Ctenomyidae,2.368974515652388,2.568788212315347,density
Ctenomys_peruanus,Rodentia,Ctenomyidae,3.5705709579769302,2.690196080028514,density
Ctenomys_talarum,Rodentia,Ctenomyidae,3.7149564353285576,2.121559844187501,density
Cuniculus_paca,Rodentia,Cuniculidae,1.68761812957177,3.9030899869919438,density
Cuon_alpinus,Carnivora,Canidae,-0.2596373105057561,4.1058506743851435,density
Cyclopes_didactylus,Pilosa,Cyclopedidae,1.510545010206612,2.517855418930029,density
Cynomys_gunnisoni,Rodentia,Sciuridae,2.825491029879431,2.9661417327390325,density
Cynomys_leucurus,Rodentia,Sciuridae,2.7375345348843054,2.958324931644053,density
Cynomys_ludovicianus,Rodentia,Sciuridae,3.2624510897304293,3.13481437032046,density
Cynomys_parvidens,Rodentia,Sciuridae,3.582630304077742,2.9542425094393248,density
Dactylopsila_trivirgata,Diprotodontia,Petauridae,0.6020599913279624,2.6164755138885654,density
Dama_dama,Cetartiodactyla,Cervidae,1.3422252293607904,4.7501225267834,density
Damaliscus_lunatus,Cetartiodactyla,Bovidae,0.437750562820388,5.133539866371694,density
Damaliscus_pygargus,Cetartiodactyla,Bovidae,1.39022836246913,5.008600171761918,density
