Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,source
Dasyprocta_leporina,Rodentia,Dasyproctidae,1.6962689967455329,3.4800069429571505,PanTHERIA.2008
Dasyprocta_punctata,Rodentia,Dasyproctidae,1.2415464805965484,3.427323786357247,PanTHERIA.2008
Dasypus_novemcinctus,Cingulata,CingulataFam,1.308991029000164,3.6236420458522685,PanTHERIA.2008
Dasypus_sabanicola,Cingulata,CingulataFam,2.4471580313422194,3.060697840353612,PanTHERIA.2008
Euoticus_elegantulus,Primates,Galagidae,1.2166935991697543,2.4771212547196626,PanTHERIA.2008
Euphractus_sexcinctus,Cingulata,CingulataFam,0.24797326636180664,3.679691300817146,PanTHERIA.2008
Connochaetes_taurinus,Cetartiodactyla,Bovidae,0.9025467793139914,5.255270092349482,PanTHERIA.2008
Cratogeomys_castanops,Rodentia,Geomyidae,3.000768021734068,2.401055725771844,PanTHERIA.2008
Crocuta_crocuta,Carnivora,Hyaenidae,-0.9208187539523752,4.7993398600967145,PanTHERIA.2008
Cryptomys_hottentotus,Rodentia,Bathyergidae,2.9117327345572286,2.0086001717619175,PanTHERIA.2008
Cryptoprocta_ferox,Carnivora,Eupleridae,-0.05551732784983137,3.9777236052888476,PanTHERIA.2008
Cryptotis_goldmani,Eulipotyphla,Soricidae,2.06126394230025,0.9030899869919435,PanTHERIA.2008
Cryptotis_meridensis,Eulipotyphla,Soricidae,2.019573202095639,1.0644579892269184,PanTHERIA.2008
Cryptotis_parva,Eulipotyphla,Soricidae,2.693718157448391,0.6989700043360189,PanTHERIA.2008
Ctenomys_opimus,Rodentia,Ctenomyidae,2.368974515652388,2.568788212315347,PanTHERIA.2008
Ctenomys_peruanus,Rodentia,Ctenomyidae,3.5705709579769302,2.690196080028514,PanTHERIA.2008
Ctenomys_talarum,Rodentia,Ctenomyidae,3.7149564353285576,2.121559844187501,PanTHERIA.2008
Cuniculus_paca,Rodentia,Cuniculidae,1.68761812957177,3.9030899869919438,PanTHERIA.2008
Cuon_alpinus,Carnivora,Canidae,-0.2596373105057561,4.1058506743851435,PanTHERIA.2008
Cyclopes_didactylus,Pilosa,Cyclopedidae,1.510545010206612,2.517855418930029,PanTHERIA.2008
Cynomys_gunnisoni,Rodentia,Sciuridae,2.825491029879431,2.9661417327390325,PanTHERIA.2008
Cynomys_leucurus,Rodentia,Sciuridae,2.7375345348843054,2.958324931644053,PanTHERIA.2008
Cynomys_ludovicianus,Rodentia,Sciuridae,3.2624510897304293,3.13481437032046,PanTHERIA.2008
Cynomys_parvidens,Rodentia,Sciuridae,3.582630304077742,2.9542425094393248,PanTHERIA.2008
Cystophora_cristata,Carnivora,Phocidae,-2.3167609055124894,5.459895103782352,PanTHERIA.2008
Dactylopsila_trivirgata,Diprotodontia,Petauridae,0.6020599913279624,2.6164755138885654,PanTHERIA.2008
Dama_dama,Cetartiodactyla,Cervidae,1.3422252293607904,4.7501225267834,PanTHERIA.2008
Damaliscus_lunatus,Cetartiodactyla,Bovidae,0.437750562820388,5.133539866371694,PanTHERIA.2008
Damaliscus_pygargus,Cetartiodactyla,Bovidae,1.39022836246913,5.008600171761918,PanTHERIA.2008
Dasymys_incomtus,Rodentia,Muridae,3.2351242640194617,1.9552065375419418,PanTHERIA.2008
Dasyurus_geoffroii,Dasyuromorphia,Dasyuridae,0.36172783601759284,3.041392685158225,PanTHERIA.2008
Dasyurus_hallucatus,Dasyuromorphia,Dasyuridae,1.2105860249051565,2.720159303405957,PanTHERIA.2008
Dasyurus_maculatus,Dasyuromorphia,Dasyuridae,0.5428254269591799,3.7403626894942437,PanTHERIA.2008
Dasyurus_viverrinus,Dasyuromorphia,Dasyuridae,1.2787536009528289,3.037426497940624,PanTHERIA.2008
Daubentonia_madagascariensis,Primates,Daubentoniidae,1.5997739391463883,3.3979400086720375,PanTHERIA.2008
Delanymys_brooksi,Rodentia,Nesomyidae,2.9407554803427463,0.6989700043360189,PanTHERIA.2008
Dipodomys_agilis,Rodentia,Heteromyidae,2.8375253094496014,1.7626785637274363,PanTHERIA.2008
