Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.geo.mean,density.mean,lower.95hpd,upper.95hpd
Neotamias_rufus,Rodentia,Sciuridae,1.72916478969277,2.509495825144924,0.25602708562940507,1.9754306029319375,2.986873591106196,323.2182132412223,385.26677693275207,94.49973767362037,970.2275247001533
Neotamias_senex,Rodentia,Sciuridae,1.9508514588885464,2.3588672426613275,0.2655163899782941,1.828124161856336,2.8599365813942144,228.49002367236218,276.26247771231345,67.31690832661786,724.3301807795722
Neotamias_siskiyou,Rodentia,Sciuridae,1.8750612633917,2.397948201316268,0.2729218450837418,1.8327977149109989,2.9121656948164687,250.00471610960213,305.3549245043537,68.0452344709085,816.8939785421945
Neotamias_sonomae,Rodentia,Sciuridae,1.8750612633917,2.398487762534311,0.2661904413989336,1.857112156251832,2.9000354968279987,250.31551139700565,302.9096344592088,71.96347992014721,794.3931613725048
Neotamias_speciosus,Rodentia,Sciuridae,1.792391689498254,2.295860263680266,0.2693607794525438,1.7627995967737542,2.8118916031684607,197.6333643029429,238.57580220676368,57.91613833531036,648.4725591826772
Neotamias_townsendii,Rodentia,Sciuridae,1.8739015978644613,2.400126198009131,0.2565109129064158,1.8929278632712911,2.899174290989639,251.26164456842187,299.48009431189166,78.14979862443828,792.8194408110523
Neotamias_umbrinus,Rodentia,Sciuridae,1.7993405494535817,2.4733322305499046,0.24119456533753414,1.980887424239076,2.919229830048071,297.39401936394,346.9153998256101,95.6945984131609,830.2900434543475
Neotetracus_sinensis,Eulipotyphla,Erinaceidae,1.9390197764486665,2.2581080267063878,0.5045846555554903,1.2656931664391644,3.2090419048664316,181.17907026329857,352.736546181562,18.43712356996324,1618.2361729430534
Neotoma_albigula,Rodentia,Cricetidae,2.3138672203691533,2.677643868244242,0.26074714741325006,2.1723929710401695,3.164648384279255,476.04046225975435,568.9707928605917,148.7280798542001,1460.9938381847248
Neotoma_angustapalata,Rodentia,Cricetidae,2.296665190261531,2.7303323769431396,0.26678013717538995,2.220183953839989,3.2498453715082904,537.442958187695,649.6307916206547,166.02900065131055,1777.6463747853775
Neotoma_anthonyi,Rodentia,Cricetidae,2.2909245593827543,2.679280632702301,0.2764891033867075,2.1442916283320157,3.2222141575753485,477.8379435645188,582.7032840485256,139.40926205801358,1668.069561635231
Neotoma_bryanti,Rodentia,Cricetidae,2.2600713879850747,2.6910747746481127,0.23356157669694094,2.195545834120554,3.1313710100969545,490.9924054880189,566.8602454598748,156.87214470412533,1353.228108389113
Neotoma_bunkeri,Rodentia,Cricetidae,2.57978359661681,2.5445232262715813,0.27935789797921334,1.9806052497218656,3.09892809256202,350.36702559257515,429.6969433396305,95.63244287601337,1255.822016267982
Neotoma_chrysomelas,Rodentia,Cricetidae,2.229169702539101,2.7157897981638026,0.276821169060513,2.175921363251013,3.258801067487876,519.7443754098413,633.612260884944,149.94133154420618,1814.6842398520446
Neotoma_cinerea,Rodentia,Cricetidae,2.4759615891924236,2.503724843131648,0.3540077465368427,1.739036852097189,3.162470544019333,318.95164261772436,445.1091464230919,54.83234909858147,1453.6857861679896
Neotoma_devia,Rodentia,Cricetidae,2.3010299956639813,2.6910461316096517,0.2414766722676427,2.219429584038627,3.15191278581068,490.96002411734776,574.2102480144085,165.74085849173795,1418.7725778767215
Neotoma_floridana,Rodentia,Cricetidae,2.388633969351789,2.6267189837784253,0.25087054353822835,2.1332315302838634,3.0964689147765663,423.36893070662444,499.6891977608442,135.90377812407712,1248.7310617524668
Neotoma_fuscipes,Rodentia,Cricetidae,2.3613500243522663,2.714534529232167,0.24025958188757718,2.2620256014819935,3.2003022005512185,518.2442941568032,605.3356688571416,182.8207985078856,1585.9964122666443
Neotoma_goldmani,Rodentia,Cricetidae,2.296665190261531,2.6308026620134615,0.3193020635819909,2.006110045072755,3.261240910998602,427.3686510503968,559.4222873558465,101.41683314130951,1824.9077309003437
Neotoma_lepida,Rodentia,Cricetidae,2.2143138974244,2.738376336193786,0.22991914524040527,2.3031533444943353,3.1952603247491673,547.4901828856671,629.7963541172168,200.98023259252474,1567.6904933835588
Neotoma_leucodon,Rodentia,Cricetidae,2.3998467127129226,2.68212722386268,0.2636987749794511,2.1727934729865206,3.198659071479481,480.98022797495594,581.1055506621085,148.86529863526454,1580.0072198862456
Neotoma_macrotis,Rodentia,Cricetidae,2.296665190261531,2.722260690060698,0.2487337237587571,2.264339367499174,3.227760543198907,527.5464319747754,622.2977144591391,183.79740166746402,1689.5091307074879
Neotoma_magister,Rodentia,Cricetidae,2.6154239528859438,2.527702750785961,0.271556176275269,2.019065483153722,3.0834652241211877,337.0565341754229,408.835448203294,104.48777545692525,1211.8956430486364
Neotoma_martinensis,Rodentia,Cricetidae,2.3909351071033793,2.6282279787596883,0.2754180057770527,2.0884768467095554,3.1514602028048695,424.8425224646509,518.2844820413516,122.5961541957286,1417.29482965598
Neotoma_mexicana,Rodentia,Cricetidae,2.307496037913213,2.5203383018180014,0.27542086785876796,1.9907475678440607,3.0599606720919024,331.38916275945263,403.9350148776259,97.89208256911083,1148.0496541715997
Neotoma_micropus,Rodentia,Cricetidae,2.3756636139608855,2.74111853980969,0.252547009952031,2.2551574847038394,3.236366238869576,550.9580587834377,657.7253176189541,179.95233434596958,1723.321232570199
Neotoma_nelsoni,Rodentia,Cricetidae,2.296665190261531,2.67691687031002,0.2640848268787945,2.1756048586185437,3.1943991666410083,475.2442492206464,570.5235284204987,149.83209728189237,1564.5850157867912
Neotoma_palatina,Rodentia,Cricetidae,2.296665190261531,2.6771101797302594,0.2835591051062675,2.0914813651720294,3.211647199091364,475.4558329343784,586.0579293946869,123.44723449528236,1627.9730047626067
Neotoma_phenax,Rodentia,Cricetidae,2.3569814009931314,2.651471235870247,0.2883508455217344,2.0891365023034796,3.2384247799975263,448.1993639376467,554.3787451831537,122.78250859713808,1731.5091066098555
Neotoma_stephensi,Rodentia,Cricetidae,2.1832698436828046,2.686878550951264,0.32350833832637366,2.0227966678836595,3.3152740697385665,486.2712025051971,640.3477033648504,105.38933590609311,2066.683964335337
Neotomodon_alstoni,Rodentia,Cricetidae,1.6020599913279623,2.9328771874428505,0.25846283068794784,2.3920330403310492,3.410300823113044,856.795520879511,1025.9556427716984,246.62269561402522,2572.1768376836135
Neotomys_ebriosus,Rodentia,Cricetidae,1.8095597146352678,2.5553560432379734,0.2953401149943061,1.981367218648959,3.159754489587496,359.2163066219319,451.50793034603026,95.80037711086577,1444.622882108453
Neotragus_batesi,Cetartiodactyla,Bovidae,3.4771212547196626,1.1818277311576373,0.33313037397870066,0.554896991387765,1.833654512960047,15.19944503378587,20.393100048270497,3.588368134481045,68.17961004787585
Neotragus_pygmaeus,Cetartiodactyla,Bovidae,3.6020599913279625,1.1207559110191359,0.32762880834481,0.5061424810242798,1.7815230195475067,13.205532275867185,17.571708469308476,3.2073213928653046,60.467640104566975
Neovison_macrodon,Carnivora,Mustelidae,3.0755469613925306,0.025969942679288243,0.3313623485708614,-0.616706053660133,0.6636838773374143,1.0616220802817518,1.4202743502717863,0.24170962598014842,4.609819039887555
Neovison_vison,Carnivora,Mustelidae,2.975431808509263,0.07710220938089583,0.3255593472902811,-0.5587122443849244,0.6910831476035011,1.194269137614794,1.5885678265080951,0.2762407570937809,4.910018716390021
Nephelomys_albigularis,Rodentia,Cricetidae,1.7817553746524688,2.4136301670266422,0.2649683063955349,1.9052024831065084,2.939543378784933,259.19711722425683,313.1884027083922,80.39008411985198,870.0483320617616
Nephelomys_auriventer,Rodentia,Cricetidae,2.070037866607755,2.2733994780940736,0.26521247968079853,1.743344069357195,2.7835298169836373,187.67199820381862,226.37463843972205,55.3788673974681,607.4769684569274
Nephelomys_caracolus,Rodentia,Cricetidae,1.968482948553935,2.324078498763567,0.26376867740075355,1.80176034869353,2.8216578566158717,210.90093190931415,253.0526819370612,63.3520027330918,663.2203700711718
Nephelomys_devius,Rodentia,Cricetidae,2.1760912590556813,2.217228300263778,0.26631874209650463,1.7299965516488012,2.780036721578393,164.90290265905548,199.07882636305789,53.7027532289165,602.6105373884815
Nephelomys_keaysi,Rodentia,Cricetidae,2.2127201544178425,2.203180669499859,0.2652109004297765,1.6897273585193175,2.718114293277464,159.65431820809357,193.23909923371497,48.94714424114654,522.5336860943302
Nephelomys_levipes,Rodentia,Cricetidae,2.0523090996473234,2.281159157585241,0.26360035352367384,1.7318727670807084,2.7668772181413113,191.05532981715533,230.21015213806086,53.93525881392077,584.6247781880363
Nephelomys_meridensis,Rodentia,Cricetidae,1.9969492484953812,2.310576009990251,0.26261518789365657,1.827751495454184,2.8562451117950465,204.44477228494935,246.0236071856106,67.25916872657277,718.1995220843132
Nesiotites_hidalgo,Eulipotyphla,Soricidae,1.3010299956639813,2.6162677336705444,0.43700206230532135,1.744904992244093,3.465803275318313,413.3022158367785,702.1775159667784,55.57826590425075,2922.828108938991
Nesiotites_similis,Eulipotyphla,Soricidae,1.380211241711606,2.5797794090431663,0.4321584774643165,1.776490068791429,3.4833515890908884,379.99633596469846,642.3383233227871,59.77093764414604,3043.3478128687975
