"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Genus.1.1","Species.1.1","Genus.1.0","Species.1.0","EltonTraits.1.0.Genus","EltonTraits.1.0.Species","EltonTraits.1.0.Status","Departure.From.IUCN.2016.3.Taxonomy","Intrafamily.Ages.Generated.From.Genetic.Data","Analyzed.Intrafamily.Phylogeny","Included.In.Small.Tree","Hierachical.Level","Markers","Bases","Placement","Placement.Source","Taxonomy.Source","Dating.Source"
"Dasyurus_hallucatus","Dasyuromorphia","Dasyuridae","Dasyurus","hallucatus","Dasyurus","hallucatus","Dasyurus","hallucatus","Dasyurus","hallucatus","000 Exact match","000 None","Yes","Version 1.1","Yes","2",4,4079,NA,NA,NA,NA
"Dasyurus_maculatus","Dasyuromorphia","Dasyuridae","Dasyurus","maculatus","Dasyurus","maculatus","Dasyurus","maculatus","Dasyurus","maculatus","000 Exact match","000 None","Yes","Version 1.1","Yes","2",4,4081,NA,NA,NA,NA
"Dasyurus_spartacus","Dasyuromorphia","Dasyuridae","Dasyurus","spartacus","Dasyurus","spartacus","Dasyurus","spartacus","Dasyurus","spartacus","000 Exact match","000 None","Yes","Version 1.1","Yes","2",4,4079,NA,NA,NA,NA
"Dasyurus_viverrinus","Dasyuromorphia","Dasyuridae","Dasyurus","viverrinus","Dasyurus","viverrinus","Dasyurus","viverrinus","Dasyurus","viverrinus","000 Exact match","000 None","Yes","Version 1.1","Yes","2",4,4079,NA,NA,NA,NA
"Daubentonia_madagascariensis","Primates","Daubentoniidae","Daubentonia","madagascariensis","Daubentonia","madagascariensis","Daubentonia","madagascariensis","Daubentonia","madagascariensis","000 Exact match","000 None","No","Version 1.0","Yes","1",NA,NA,NA,NA,NA,NA
"Daubentonia_robustus","Primates","Daubentoniidae","Daubentonia","robustus","Daubentonia","robustus","Daubentonia","robustus","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Added","No","Version 1.0","Yes","4",NA,NA,"Sister to another species in the genus ","Taxonomy","Philosophical Transactions Royal Society Series B 366: 2564-2576 (2011)","Philosophical Transactions Royal Society Series B 366: 2564-2576 (2011)"
"Delanymys_brooksi","Rodentia","Nesomyidae","Delanymys","brooksi","Delanymys","brooksi","Delanymys","brooksi","Delanymys","brooksi","000 Exact match","000 None","No","Version 1.0","Yes","4",0,0,"Sister to Petromyscus","Nature 446, 507-512 (2007).",NA,NA
"Delomys_collinus","Rodentia","Cricetidae","Delomys","collinus","Delomys","collinus","Delomys","collinus","Delomys","collinus","000 Exact match","000 None","No","Version 1.0","Yes","3",1,801,NA,NA,NA,NA
"Delomys_dorsalis","Rodentia","Cricetidae","Delomys","dorsalis","Delomys","dorsalis","Delomys","dorsalis","Delomys","dorsalis","000 Exact match","000 None","No","Version 1.0","Yes","3",1,1056,NA,NA,NA,NA
"Delomys_sublineatus","Rodentia","Cricetidae","Delomys","sublineatus","Delomys","sublineatus","Delomys","sublineatus","Delomys","sublineatus","000 Exact match","000 None","No","Version 1.0","Yes","2",2,2313,NA,NA,NA,NA
"Delphinapterus_leucas","Cetartiodactyla","Monodontidae","Delphinapterus","leucas","Delphinapterus","leucas","Delphinapterus","leucas","Delphinapterus","leucas","000 Exact match","000 None","No","Version 1.0","Yes","1",NA,NA,NA,NA,NA,NA
"Delphinus_capensis","Cetartiodactyla","Delphinidae","Delphinus","capensis","Delphinus","capensis","Delphinus","capensis","Delphinus","capensis","000 Exact match","000 None","Yes","Version 1.1","Yes","2",14,9390,NA,NA,NA,NA
"Delphinus_delphis","Cetartiodactyla","Delphinidae","Delphinus","delphis","Delphinus","delphis","Delphinus","delphis","Delphinus","delphis","000 Exact match","000 None","Yes","Version 1.1","Yes","2",14,9143,NA,NA,NA,NA
"Deltamys_kempi","Rodentia","Cricetidae","Deltamys","kempi","Deltamys","kempi","Deltamys","kempi","Deltamys","kempi","000 Exact match","000 None","No","Version 1.0","Yes","2",2,1882,NA,NA,NA,NA
"Dendrogale_melanura","Scandentia","Tupaiidae","Dendrogale","melanura","Dendrogale","melanura","Dendrogale","melanura","Dendrogale","melanura","000 Exact match","000 None","Yes","Version 1.1","Yes","2",1,1341,NA,NA,NA,NA
"Dendrogale_murina","Scandentia","Tupaiidae","Dendrogale","murina","Dendrogale","murina","Dendrogale","murina","Dendrogale","murina","000 Exact match","000 None","Yes","Version 1.1","Yes","2",7,1630,NA,NA,NA,NA
"Dendrohyrax_arboreus","Hyracoidea","Procaviidae","Dendrohyrax","arboreus","Dendrohyrax","arboreus","Dendrohyrax","arboreus","Dendrohyrax","arboreus","000 Exact match","000 None","Yes","Version 1.1","Yes","4",0,0,"Dendrohyrax dorsalis basal species in genus","Nature 446, 507-512 (2007",NA,NA
"Dendrohyrax_dorsalis","Hyracoidea","Procaviidae","Dendrohyrax","dorsalis","Dendrohyrax","dorsalis","Dendrohyrax","dorsalis","Dendrohyrax","dorsalis","000 Exact match","000 None","Yes","Version 1.1","Yes","2",3,4955,NA,NA,NA,NA
"Dendrohyrax_validus","Hyracoidea","Procaviidae","Dendrohyrax","validus","Dendrohyrax","validus","Dendrohyrax","validus","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 None","Yes","Version 1.1","Yes","4",0,0,"Dendrohyrax dorsalis basal species in genus","Nature 446, 507-512 (2007",NA,NA
